"SKURcrd","MfgName","MfgNo","Quantity","smShortDesc","ShortDesc","Description","Picture","Price","MAP","MSRP","AddShip","ShipWeight","ShipLength","ShipWidth","ShipHeight","CategoryParentName","CategoryName","CategoryAbbv","MfgAbbv","MfgSite","ProductGroup","GroupMisc","Rcstus","BarCode","DEPID","RestrictedAreas","Warranty","Thumbnail","ExtraTxt1","ExtraFileNm1","Extra1Exp","ExtraTxt2","ExtraFileNm2","Extra2Exp","ExtraFileNm3","ExtraTxt3","Extra3Exp","Ebay","PicEB","CaseQty","UnitQty","CategoryID","PicURL","BillableWeight","EconomyBillable",
6186,Federal Cartridge,P1385,2,Lead HV 12Ga. 2.75" 5-Shot/25,12 Gauge,Each Premium lead shotshell has been designed specifically for the game you are after. When pheasants explode from cover Federals Premium High Velocity hits them faster than ordinary shells. Premium magnum lead shotshells provide a denser shot pattern and extra range. Copperplated shot for uniform patterns and increased down range energy.<br><br>Specifications:<br><br>- Gauge: 12<br>- Length: 2 3/4"<br>- Ounces: 1 3/8 oz<br>- Shot Size: #5<br>- Quantity: Per 25<br><br>Ballistic Information:<br><br>- Muzzle Velocity: 1400 fps,fedepicp1385.jpg,16.54,0,24.95,0,3,4.1,2.5,4.1,Ammunition,Shotgun Ammunition,AM,FEDE,www.federalpremium.com,HNY,Premium Wing Shok High Velocity 2 3/4" 1 3/8 oz #5 Lead Shot Per 25,C,029465021658,6219,<a target="_blank" href="http://68.168.105.47/prodpics/restrictions.pdf" >Restricted Areas Document -- Please Read</a>,Warranted against manufacturers defects.,th_fedepicp1385.gif,,,,,,,,,,0,,10,25,15,https://images.dealerease.net/prodpics/fedepicp1385.jpg,4,4,
6229,Federal Cartridge,P1386,10,Lead HV 12Ga. 2.75" 6-Shot/25,12 Gauge,Each Premium lead shotshell has been designed specifically for the game you are after. When pheasants explode from cover Federals Premium High Velocity hits them faster than ordinary shells. Premium magnum lead shotshells provide a denser shot pattern and extra range. Copperplated shot for uniform patterns and increased down range energy.<br><br>Specifications:<br><br>- Gauge: 12<br>- Length: 2 3/4"<br>- Ounces: 1 3/8 oz<br>- Shot Size: #6<br>- Quantity: Per 25<br><br>Ballistic Information:<br><br>- Muzzle Velocity: 1400 fps,fedepicp1386.jpg,16.54,0,24.95,0,3,4.1,2.5,4.1,Ammunition,Shotgun Ammunition,AM,FEDE,www.federalpremium.com,HNY,Premium Wing Shok High Velocity 2 3/4" 1 3/8 oz #6 Lead Shot Per 25,C,029465021665,6262,<a target="_blank" href="http://68.168.105.47/prodpics/restrictions.pdf" >Restricted Areas Document -- Please Read</a>,Warranted against manufacturers defects.,th_fedepicp1386.gif,,,,,,,,,,0,,10,25,15,https://images.dealerease.net/prodpics/fedepicp1386.jpg,4,4,
16848,Winchester Ammo,X30303,0,SupX 30-30 170gr Power Point/20,30-30 Winchester,Winchester Super-X ammunition has developed a reputation as being hard hitting and reliable. This ammunition is loaded with Super-X Power-Points which feature a unique exposed soft nose jacketed bullet design that delivers maximum energy on target. Strategically-placed notches around the jacket mouth improve upset and ensure uniform expansion for massive energy release. This ammunition is new production non-corrosive in boxer primed reloadable brass cases. <br><br>Specifications:<br><br>- Caliber: 30-30 Winchester<br>- Bullet Weight: 170 Grains<br>- Bullet Style: Power-Point<br>- Case Type: Brass<br>- Quantity: Per 20<br><br>Ballistics Information: <br><br>- Muzzle Velocity: 2200 fps<br>- Muzzle Energy: 1827 ft lbs,wincpicx30303.jpg,14.54,0,22.95,0,1.14,2.719,5.844,1.406,Ammunition,Centerfire Rifle Ammunition,AM,WINC,www.winchester.com,HHH,Super-X 170 Grains Power-Point Per 20,C,020892200098,16881,<a target="_blank" href="http://68.168.105.47/prodpics/restrictions.pdf" >Restricted Areas Document -- Please Read</a>,Warranted against manufacturers defects.,th_wincpicx30303.gif,,,,,,,,,,0,,10,20,11,https://images.dealerease.net/prodpics/wincpicx30303.jpg,2,2,
16412,Federal Cartridge,T1188,0,12ga 2-3/4" 8-Shot /25,12 Gauge,Gold Medal Paper Target loads feature a one piece smooth hull for improved performance and easier reloading. Designed to provide optimum performance when it counts they feature extra hard lead shot for tight patterns and clay breaking authority even at handicap range. Select clean burning powder delivers consistent velocity and optimum ballistic performance.<br><br>Specifications<br><br>- Gauge: 12<br>- Length: 2 3/4"<br>- Ounces: 1 1/8 oz<br>- Shot Size: #8<br>- Quantity: Per 25<br><br>Ballistic Information:<br><br>- Muzzle Velocity: 1200 fps,fedpicgmshotshell.jpg,8.97,0,13.95,0,2.7,4.1,2.5,4.1,Ammunition,Shotgun Ammunition,AM,FEDE,www.federalpremium.com,HNY,Gold Medal Paper Target 2 3/4" 1 1/8 oz #8 Lead Shot Per 25,C,029465017347,16454,<a target="_blank" href="http://68.168.105.47/prodpics/restrictions.pdf" >Restricted Areas Document -- Please Read</a>,Warranted against manufacturers defects.,th_fedpicgmshotshell.gif,,,,,,,,,,0,,10,25,15,https://images.dealerease.net/prodpics/fedpicgmshotshell.jpg,4,4,
18980,Ultramax,308R5,2,308Win 168Gr. Sierra BTHP Match,308 Winchester Remanufactured,Ultramax ammunition represents serious quality for serious shooters. Since 1986 Ultramax has provided top of the line ammunition with a reputation for accuracy round after round at an unequaled value. All Ultramax ammunition is loaded to SAAMI specs and a visual inspection is performed on every loaded cartridge before it leaves the building. <br><br>All Ultramax remanufactured ammunition goes through a 10-Step Quality Assurance System. Once fired brass is inspected for flaws and is washed to clear the primer pockets and flash holes from any debris. Ultramax sizes each piece of brass to the same SAAMI specs as new brass. Remanufactured ammunition is often loaded with mixed head stamped brass. This ammunition is non-corrosive in boxer primed reloadable brass cases. <br><br>Specifications:<br><br>- Caliber: 308 Winchester<br>- Bullet Weight: 168 Grains<br>- Bullet Style: Sierra Hollow Point Boat Tail Match<br>- Case Type: Brass<br>- Quantity: 20 Rounds<br><br>Ballistics Information:<br><br>- Muzzle Velocity: 2680 fps<br>- Muzzle Energy: 2679 ft lbs,ultramaxpic308r5.jpg,16.46,0,26.95,0,1.2,6,4,1.375,Ammunition,Centerfire Rifle Ammunition,AM,ULTR,www.ultramaxammunition.com,HLT,168 Grains Sierra Hollow Point Boat Tail Match Per 20,C,755104308056,19053,<a target="_blank" href="http://68.168.105.47/prodpics/restrictions.pdf" >Restricted Areas Document -- Please Read</a>,Ultramax unconditionally guarantees everything we sell. If you are not 100% satisfied for any reason we will pay return freight and  issue a full refund.,th_ultramaxpic308r5.gif,,,,,,,,,,0,,10,20,11,https://images.dealerease.net/prodpics/ultramaxpic308r5.jpg,2,2,
20106,A-Zoom,12204,24,22 Win Mag 6 Pack Dummy Rounds,Dummy Rounds,A-Zoom 22 WMR (Win Mag Rimfire)Action Proving Dummy Rounds are designed to teach safe firearms handling. They are not snap caps. They may be worked through the actions of any 22 WMR firearm for function testing. Dry firing will deform the head and will limit their use to 4 or 5 hits.,azoopic12204.jpg,6.05,0,11.2,0,0.1,6,4.25,0.5,Ammunition,Dummy Cartridges/Blanks,AM,AZOO,www.azoomsnapcaps.com,DWC,22 Winchester Magnum Per 6,C,666692122040,52464,,Warranted against manufacturers defects.,th_azoopic12204.gif,,,,,,,,,,0,,10,6,12,https://images.dealerease.net/prodpics/azoopic12204.jpg,1,1,
21812,CCI,24,0,22WMR HP MaxiMag Per/50,22 Winchester Magnum Rimfire,CCI's ammunition is great for sports from small game hunting to casual plinking. CCI combined rimfire priming compound with select propellants so you get very little residue. <br><br><br>Features:<br><br>- Bullet Type: Jacketed Hollow Point<br>- Muzzle Energy: 312 ft lbs<br>- Muzzle Velocity: 1875 fps<br><br><br>Specifications:<br><br>- Caliber: 22 Winchester Magnum Rimfire<br>- Bullet Weight: 40 GR<br>- Rounds/box: 50 Rounds Per Box 40 Boxes Per Case,ccipic0024.jpg,9.85,0,14.95,0,0.6,8.25,3.75,3.5,Ammunition,Rimfire Ammunition,AM,CCI,www.cci-ammunition.com,HLC,22 WMR HP Maxi Mag  (Per 50),C,076683000248,21861,<a target="_blank" href="http://68.168.105.47/prodpics/restrictions.pdf" >Restricted Areas Document -- Please Read</a>,Warranted against manufacturers defects.,th_ccipic0024.gif,,,,,,,,,,0,,40,50,14,https://images.dealerease.net/prodpics/ccipic0024.jpg,1,1,
21898,Winchester Ammo,USA9JHP2,0,USA 9mmLuger 147gr Jacketed HP/50,9mm Luger,Winchester USA ammunition was developed to provide excellent performance at an affordable price for the high volume shooter. Featuring high quality Winchester components this ammunition delivers outstanding reliability. This ammunition is loaded with a jacketed hollow point bullet which features a rearward weight design to ensure pinpoint accuracy and sure functioning time and time again. This ammunition is new production non-corrosive in reloadable brass cases. <br><br>Specifications:<br><br>- Caliber: 9mm Luger<br>- Bullet Weight: 147 Grain<br>- Bullet Style: Jacketed Hollow Point<br>- Case Type: Brass <br>- Quantity: Per 50<br><br>Ballistics Information: <br><br>- Muzzle Velocity: 990 fps<br>- Muzzle Energy: 320 ft lbs,winchpicusa9jhp2.jpg,19.18,0,29.95,0,1.6,2.7,1.4,5.1,Ammunition,Centerfire Handgun Ammunition,AM,WINC,www.winchester.com,HIG,USA 147 Grains Jacketed Hollow Point Per 50,C,020892213517,33987,<a target="_blank" href="http://68.168.105.47/prodpics/restrictions.pdf" >Restricted Areas Document -- Please Read</a>,Warranted against manufacturers defects.,th_winchpicusa9jhp2.gif,,,,,,,,,,0,,10,50,13,https://images.dealerease.net/prodpics/winchpicusa9jhp2.jpg,2,2,
22070,CCI,50,0,22LR Stinger HP Per/50,22 Long Rifle,CCI's mini mag ammunition is great for sports from small game hunting to casual plinking. CCI combined rimfire priming compound with select propellants so you get very little residue. <br><br><br>Features:<br><br>- Bullet Type: Hollow Point<br>- Muzzle Energy: 191 ft lbs<br>- Muzzle Velocity: 1640 fps<br><br><br>Specifications:<br><br>- Caliber: 22 Long Rifle<br>- Bullet Weight: 32 GR<br>- Rounds/box: 50 Rounds Per Box 100 Boxes Per Case,ccipic0050.jpg,5.49,0,8.95,0,0.6,8.5,3.125,2.375,Ammunition,Rimfire Ammunition,AM,CCI,www.cci-ammunition.com,HLA,22 Long Rifle  LR Stinger HP (Per 50),C,076683000507,22104,<a target="_blank" href="http://68.168.105.47/prodpics/restrictions.pdf" >Restricted Areas Document -- Please Read</a>,Warranted against manufacturers defects.,th_ccipic0050.gif,,,,,,,,,,0,,100,50,14,https://images.dealerease.net/prodpics/ccipic0050.jpg,1,1,
22097,CCI,26,0,22 CB Ammo Per/100,22 Conical Ball Cap,CCI's ammunition is great for sports from small game hunting to casual plinking. CCI combined rimfire priming compound with select propellants so you get very little residue. <br><br><br>Features:<br><br>- Bullet Type: Round Nose<br>- Muzzle Energy: 32 ft lbs<br>- Muzzle Velocity: 710 fps<br><br><br>Specifications:<br><br>- Caliber: 22 CB Short<br>- Bullet Weight: 29 GR<br>- Rounds/box: 100 Rounds Per Box 50 Boxes Per Case,ccipic0026.jpg,7.38,0,10.95,0,0.85,6.25,1.75,5.75,Ammunition,Rimfire Ammunition,AM,CCI,www.cci-ammunition.com,HKZ,22 CB Short (Per 100),C,076683000262,22131,<a target="_blank" href="http://68.168.105.47/prodpics/restrictions.pdf" >Restricted Areas Document -- Please Read</a>,Warranted against manufacturers defects.,th_ccipic0026.gif,,,,,,,,,,0,,50,100,14,https://images.dealerease.net/prodpics/ccipic0026.jpg,2,2,
